year,authors,title,venue,doi,paper_url,slides,award,image
2021,"Masaki Kuribayashi*, Seita Kayukawa*, Hironobu Takagi, Chieko Asakawa, and Shigeo Morishima (* - equal contribution)",LineChaser: A Smartphone-Based Navigation System for Blind People to Stand in Line.,CHI 2021,https://dl.acm.org/doi/10.1145/3411764.3445451,,,Azusa Ono Memorial Award,images/comingsoon.jpg
2022,"Masaki Kuribayashi, Seita Kayukawa, Jayakorn Vongkulbhisal, Daisuke Sato, Chieko Asakawa, Hironobu Takagi, Shigeo Morishima",Corridor-Walker: Mobile Indoor Walking Assistance for Blind People to Avoid Obstacles and Recognize Intersections.,MobileHCI 2022,,,,,images/comingsoon.jpg
2023,"Masaki Kuribayashi, Tatsuya Ishihara, Daisuke Sato, Jayakorn Vongkulbhisal, Karnik Ram, Seita Kayukawa, Hironobu Takagi, Shigeo Morishima, and Chieko Asakawa",PathFinder: Designing a Map-less Navigation System for Blind People in Unfamiliar Buildings.,CHI 2023,,,,,images/comingsoon.jpg
2023,"Yusuke Miura, Erwin Wu, Masaki Kuribayashi, Hideki Koike, Shigeo Morishima",Exploration of Sonification Feedback for People with Visual Impairment to Use Ski Simulator.,AHs 2023,,,,,images/comingsoon.jpg
2024,"Yuka Kaniwa*, Masaki Kuribayashi*, Seita Kayukawa, Daisuke Sato, Hironobu Takagi, Chieko Asakawa, Shigeo Morishima (* - equal contribution)",ChitChatGuide: Conversational Interaction Using Large Language Models for Assisting People with Visual Impairments to Explore a Shopping Mall.,MobileHCI 2024,,,,,images/comingsoon.jpg
2024,"Masaya Kubota*, Masaki Kuribayashi*, Seita Kayukawa, Hironobu Takagi, Chieko Asakawa, Shigeo Morishima (* - equal contribution)",Snap&Nav: Smartphone-based Indoor Navigation System For Blind People via Floor Map Analysis and Intersection Detection.,MobileHCI 2024,,,,,images/comingsoon.jpg
2024,"Hee Jae Kim, Kathakoli Sengupta, Masaki Kuribayashi, Hernisa Kacorri, Eshed Ohn-Bar",Text to Blind Motion.,NeurIPS 2024,,,,,images/comingsoon.jpg
2025,"Toshihiro Hirano, Yichen Peng, Masaki Kuribayashi, Erwin Wu, Shigeo Morishima, and Hideki Koike",SlopeNav: A Realtime Wearable Blind Ski Assistance System with Adaptive Path Planning for Simulated Environments.,AHs 2025,,,,,images/comingsoon.jpg
2025,"Masaki Kuribayashi, Kohei Uehara, Allan Wang, Shigeo Morishima, and Chieko Asakawa",WanderGuide: Indoor Map-less Robotic Guide for Exploration by Blind People.,CHI 2025,,,,,images/comingsoon.jpg
2025,"Yusuke Miura, Chi-Lan Yang, Masaki Kuribayashi, Keigo Matsumoto, Hideki Kuzuoka, and Shigeo Morishima",Understanding and Supporting Formal Email Exchange by Answering AI-Generated Questions.,CHI 2025,,,,,images/comingsoon.jpg
2025,"Masaki Kuribayashi*, Kohei Uehara*, Allan Wang, Daisuke Sato, Renato Ribeiro, Simon Chu, and Shigeo Morishima (* - equal contribution)",Memory-Maze: Scenario Driven Visual Language Navigation Benchmark for Guiding Blind People.,RA-L 2025,,,,,images/comingsoon.jpg
2026,,Time-Aware Assistive Navigation,ICRA 2026,,,,,images/comingsoon.jpg
2026,,Robot-Assisted Group Tours for Blind People,CHI 2026,,,,,images/comingsoon.jpg
2026,,How Does Delegation in Social Interaction Evolve Over Time? Navigation with a Robot for Blind People,CHI 2026,,,,,images/comingsoon.jpg
