year,authors,title,venue,doi,paper_url,slides,image,include
2025,,`Thank God I’m Fly!'': A Gyaru Persona Chatbot for Adopting a Positive Mindset to Prevent and Mitigate Negative Emotions.,CHI 2026 Posters,,,,images/comingsoon.jpg,false
2025,"Yuta Taguchi, Toshihiro Hirano, Masaki Kuribayashi, Yichen Peng, Erwin Wu, Hideki Koike, Shigeo Morishima",Spatial Audio for Ski Simulation with Visually Impaired Users in Dynamic Environments.,SA Posters 2025,,,,images/comingsoon.jpg,false
2025,"Masaya Kubota, Masaki Kuribayashi, Renato Ribeiro, and Shigeo Morishima",Investigating Blind People's Route Perception of Complex Pre-Mapped Routes in Virtual Reality.,UIST 2025,,,,images/comingsoon.jpg,false
2025,"Masaki Kuribayashi, Kohei Uehara, Allan Wang, Daisuke Sato, Renato Ribeiro, Simon Chu, and Shigeo Morishima",Memory-Maze: Scenario Driven Benchmark and Visual Language Navigation Model for Guiding Blind People.,ICRA Workshop 2025,,,,images/comingsoon.jpg,false
2024,"Hee Jae Kim, Kathakoli Sengupta, Masaki Kuribayashi, Hernisa Kacorri, Eshed Ohn-Bar",A Multi-Modal Dataset for Urban Navigation by Blind Individuals.,ASSETS 2024 Workshop,,,,images/comingsoon.jpg,false
2024,"Masaki Kuribayashi, Kohei Uehara, Allan Wang, Daisuke Sato, Simon Chu, and Shigeo Morishima",Memory-Maze: Benchmark and Visual Language Navigation Model for Guiding Blind People.,RSS Workshop 2024,,,,images/comingsoon.jpg,false
2023,"Masaki Kuribayashi, Hironobu Takagi, Chieko Asakawa, Shigeo Morishima",Textual and Directional Sign Recognition Algorithm for People with Visual Impairment by Linking Texts and Arrows.,CVPR AVA Workshop 2023,,,,images/comingsoon.jpg,false
2022,"Yusuke Miura, Masaki Kuribayashi, Erwin Wu, Hideki Koike, Shigeo Morishima",A Study on Sonification Method of Simulator-Based Ski Training for People with Visual Impairment.,SA Posters 2022,,,,images/comingsoon.jpg,false
2021,"Masaki Kuribayashi, Seita Kayukawa, Jayakorn Vongkulbhisal, Daisuke Sato, Chieko Asakawa, Hironobu Takagi, Shigeo Morishima",Designing a Smartphone-Based Assistance System for Blind People to Recognize Intersections and Obstacles in Indoor Corridors.,Mobiquitous 2021,,,,images/comingsoon.jpg,false
